ds,y
2019-06-01,11.931333
2019-06-02,11.931333
2019-06-03,11.931333
2019-06-04,12.906667
2019-06-05,13.106
2019-06-06,13.73
2019-06-07,13.633333
2019-06-08,13.633333
2019-06-09,13.633333
2019-06-10,14.192
2019-06-11,14.473333
2019-06-12,13.950667
2019-06-13,14.260667
2019-06-14,14.328
2019-06-15,14.328
2019-06-16,14.328
2019-06-17,15.002
2019-06-18,14.982667
2019-06-19,15.095333
2019-06-20,14.641333
2019-06-21,14.790667
2019-06-22,14.790667
2019-06-23,14.790667
2019-06-24,14.909333
2019-06-25,14.650667
2019-06-26,14.618
2019-06-27,14.856
2019-06-28,14.897333
2019-06-29,14.897333
2019-06-30,14.897333
2019-07-01,15.144667
2019-07-02,14.97
2019-07-03,15.66
2019-07-04,15.66
2019-07-05,15.54
2019-07-06,15.54
2019-07-07,15.54
2019-07-08,15.356
2019-07-09,15.337333
2019-07-10,15.928
2019-07-11,15.906667
2019-07-12,16.338667
2019-07-13,16.338667
2019-07-14,16.338667
2019-07-15,16.9
2019-07-16,16.825333
2019-07-17,16.990667
2019-07-18,16.902666
2019-07-19,17.212
2019-07-20,17.212
2019-07-21,17.212
2019-07-22,17.045334
2019-07-23,17.344667
2019-07-24,17.658667
2019-07-25,15.254667
2019-07-26,15.202667
2019-07-27,15.202667
2019-07-28,15.202667
2019-07-29,15.718
2019-07-30,16.150667
2019-07-31,16.107332
2019-08-01,15.59
2019-08-02,15.622667
2019-08-03,15.622667
2019-08-04,15.622667
2019-08-05,15.221333
2019-08-06,15.383333
2019-08-07,15.561333
2019-08-08,15.886667
2019-08-09,15.667333
2019-08-10,15.667333
2019-08-11,15.667333
2019-08-12,15.267333
2019-08-13,15.666667
2019-08-14,14.641333
2019-08-15,14.376
2019-08-16,14.662667
2019-08-17,14.662667
2019-08-18,14.662667
2019-08-19,15.122
2019-08-20,15.057333
2019-08-21,14.722
2019-08-22,14.81
2019-08-23,14.093333
2019-08-24,14.093333
2019-08-25,14.093333
2019-08-26,14.333333
2019-08-27,14.272
2019-08-28,14.372667
2019-08-29,14.780667
2019-08-30,15.040667
2019-08-31,15.040667
2019-09-01,15.040667
2019-09-02,15.040667
2019-09-03,15.000667
2019-09-04,14.712
2019-09-05,15.305333
2019-09-06,15.163333
2019-09-07,15.163333
2019-09-08,15.163333
2019-09-09,15.452667
2019-09-10,15.702667
2019-09-11,16.473333
2019-09-12,16.391333
2019-09-13,16.346666
2019-09-14,16.346666
