Date,Open,High,Low,Close,Adj Close,Volume
2019-05-01,12.36733341217041,17.738000869750977,11.799332618713379,16.107332229614258,16.107332229614258,6214609500
2019-08-01,16.176666259765625,22.722667694091797,14.066666603088379,20.994667053222656,20.994667053222656,7463227500
2019-11-01,21.08799934387207,43.53333282470703,20.617332458496094,43.371334075927734,43.371334075927734,11581039500
2020-02-01,44.91266632080078,64.59933471679688,23.367332458496094,52.12533187866211,52.12533187866211,19124989500
2020-05-01,50.33333206176758,119.66600036621094,45.5359992980957,95.38400268554688,95.38400268554688,13606647000
2020-08-01,96.61333465576172,167.49667358398438,91.0,129.34666442871094,129.34666442871094,12381988800
2020-11-01,131.3333282470703,300.1333312988281,130.76666259765625,264.510009765625,264.510009765625,8053918800
2021-02-01,271.42999267578125,293.5,179.8300018310547,236.47999572753906,236.47999572753906,6431550000
2021-05-01,234.60000610351562,235.3333282470703,182.32666015625,229.06666564941406,229.06666564941406,4780642500
2021-08-01,233.3333282470703,371.7366638183594,216.27999877929688,371.3333435058594,371.3333435058594,3901292400
2021-11-01,381.6666564941406,414.4966735839844,264.0033264160156,312.239990234375,312.239990234375,5393508600
2022-02-01,311.7366638183594,384.2900085449219,233.3333282470703,290.2533264160156,290.2533264160156,4641359400
2022-05-01,286.92333984375,318.5,206.85667419433594,297.1499938964844,297.1499938964844,5704333500
2022-08-01,301.27667236328125,314.6666564941406,198.58999633789062,227.5399932861328,227.5399932861328,4729797300
2022-11-01,234.0500030517578,237.39999389648438,101.80999755859375,173.22000122070312,173.22000122070312,8727022400
2023-02-01,173.88999938964844,217.64999389648438,152.3699951171875,164.30999755859375,164.30999755859375,9441641300
2023-05-01,163.1699981689453,299.2900085449219,158.8300018310547,267.42999267578125,267.42999267578125,8514561700
2023-08-01,266.260009765625,278.9800109863281,194.07000732421875,200.83999633789062,200.83999633789062,7531457100
2023-11-01,204.0399932861328,265.1300048828125,180.05999755859375,187.2899932861328,187.2899932861328,7289181400
2024-02-01,188.5,205.60000610351562,138.8000030517578,183.27999877929688,183.27999877929688,6397352700
2024-05-01,182.0,187.55999755859375,167.75,175.6750030517578,175.6750030517578,1455555892
